Order,Color,P1000.csv,P1000_NRe.csv,P0.csv,P_soil.csv,P100_NRe.csv,P_emp.csv,P10_NRe.csv,P100.csv,P10.csv,P_urea.csv,P_water.csv
4,Blue,27.5,337.65,288.6666666666667,134.0,332.7,275.0,325.8,36.85,57.3,317.3333333333333,288.6666666666667
4,Green,55.476190476190474,201.23809523809524,216.66666666666666,74.33333333333333,197.33333333333334,199.0,189.0,66.76190476190476,89.95,230.66666666666666,216.66666666666666
4,Red,59.714285714285715,344.6190476190476,350.0,123.66666666666667,338.6666666666667,335.0,322.2857142857143,73.52380952380952,106.33333333333333,347.6666666666667,350.0
4,White,135.52380952380952,835.3809523809524,811.25,319.0,821.6190476190476,768.25,794.8571428571429,168.61904761904762,242.9047619047619,841.25,811.25
5,Black,3.7,4.85,7.333333333333333,4.666666666666667,6.05,5.333333333333333,5.05,3.8,4.25,8.0,7.333333333333333
5,Blue,27.15,337.9,292.6666666666667,134.66666666666666,331.85,275.0,326.05,36.45,56.4,320.3333333333333,292.6666666666667
5,Green,56.38095238095238,201.76190476190476,217.33333333333334,74.0,198.0952380952381,201.0,189.14285714285714,66.42857142857143,89.7,231.66666666666666,217.33333333333334
5,Red,59.285714285714285,343.5238095238095,349.6666666666667,125.0,341.1904761904762,333.0,321.23809523809524,73.80952380952381,106.28571428571429,352.0,349.6666666666667
5,White,135.0,836.5714285714286,807.0,319.0,821.0952380952381,765.75,794.2380952380952,168.38095238095238,242.1904761904762,841.5,807.0
6,Black,3.95,5.3,6.333333333333333,4.333333333333333,6.15,6.666666666666667,5.25,3.8,4.6,7.333333333333333,6.333333333333333
6,Blue,27.0,337.5,287.6666666666667,135.33333333333334,331.55,279.0,326.4,36.25,56.65,321.6666666666667,287.6666666666667
6,Green,55.76190476190476,201.33333333333334,216.0,75.0,196.71428571428572,201.0,189.66666666666666,65.95238095238095,88.95,225.33333333333334,216.0
6,Red,58.76190476190476,343.9047619047619,348.6666666666667,127.33333333333333,340.5238095238095,334.3333333333333,321.3333333333333,73.85714285714286,106.52380952380952,348.6666666666667,348.6666666666667
6,White,135.9047619047619,836.2380952380952,809.75,324.25,822.047619047619,767.5,793.5714285714286,169.71428571428572,242.47619047619048,841.5,809.75
7,Black,3.7,5.25,6.666666666666667,4.0,6.45,5.0,4.8,3.8,4.45,7.333333333333333,6.666666666666667
7,Blue,26.95,337.65,289.0,134.66666666666666,333.5,279.6666666666667,324.15,36.75,56.7,319.0,289.0
7,Green,56.285714285714285,200.33333333333334,217.0,74.0,197.66666666666666,195.33333333333334,188.42857142857142,66.28571428571429,89.7,225.33333333333334,217.0
7,Red,59.285714285714285,344.3809523809524,349.3333333333333,124.66666666666667,339.57142857142856,336.0,321.8095238095238,73.0,106.61904761904762,348.6666666666667,349.3333333333333
7,White,134.1904761904762,835.952380952381,812.0,320.5,821.6666666666666,770.25,794.2380952380952,170.04761904761904,242.71428571428572,842.0,812.0
8,Black,4.05,5.2,7.333333333333333,5.0,5.95,6.333333333333333,5.15,3.9,4.6,8.0,7.333333333333333
8,Blue,27.45,338.0,290.3333333333333,137.33333333333334,332.65,278.0,325.75,36.6,55.9,318.6666666666667,290.3333333333333
8,Green,55.61904761904762,202.0952380952381,218.0,72.66666666666667,198.1904761904762,199.33333333333334,188.8095238095238,66.15,89.55,229.0,218.0
8,Red,59.19047619047619,343.8095238095238,352.6666666666667,122.0,341.6666666666667,334.6666666666667,320.6190476190476,73.42857142857143,106.85714285714286,355.3333333333333,352.6666666666667
8,White,134.8095238095238,835.5238095238095,810.25,321.25,821.7619047619048,768.75,794.5238095238095,168.71428571428572,241.47619047619048,839.75,810.25
9,Black,3.95,5.25,7.0,4.0,6.25,5.666666666666667,4.95,3.7,4.55,7.333333333333333,7.0
9,Blue,27.0,336.8,290.6666666666667,132.66666666666666,332.85,274.6666666666667,325.25,36.3,56.45,317.3333333333333,290.6666666666667
9,Green,56.904761904761905,200.76190476190476,218.33333333333334,73.0,197.7,200.0,189.95238095238096,66.35,89.55,228.66666666666666,218.33333333333334
9,Red,59.476190476190474,343.5238095238095,352.0,123.33333333333333,339.6666666666667,330.0,322.0,73.38095238095238,107.57142857142857,349.3333333333333,352.0
9,White,134.66666666666666,834.2857142857143,806.5,323.0,821.6190476190476,766.5,794.2380952380952,168.61904761904762,241.85714285714286,841.25,806.5
10,Black,3.9,5.2,6.0,4.666666666666667,6.1,6.333333333333333,5.05,3.9,4.5625,7.333333333333333,6.0
