No.,Order,Color,Value
No.,Order,Color,Value
1047,0,Black,6
1048,0,Black,7
1049,0,Black,6
1050,0,Black,6
1051,0,Black,6
1052,0,Black,7
1053,0,Black,5
1054,0,Black,6
1055,0,Black,6
1056,0,Black,6
1057,0,Black,5
1058,1,White,7
1059,2,White,824
1060,3,White,819
1061,4,White,819
1062,5,White,822
1063,6,White,821
1064,7,White,824
1065,8,White,820
1066,9,White,819
1067,10,White,820
1068,11,White,817
1069,12,White,824
1070,13,White,826
1071,14,White,825
1072,15,White,824
1073,1,Red,812
1074,2,Red,337
1075,3,Red,339
1076,4,Red,339
1077,5,Red,339
1078,6,Red,340
1079,7,Red,344
1080,8,Red,336
1081,9,Red,341
1082,10,Red,338
1083,11,Red,338
1084,12,Red,343
1085,13,Red,342
1086,14,Red,342
1087,1,Green,339
1088,2,Green,201
1089,3,Green,200
1090,4,Green,196
1091,5,Green,201
1092,6,Green,202
1093,7,Green,202
1094,8,Green,199
1095,9,Green,197
1096,10,Green,194
1097,11,Green,195
1098,12,Green,195
1099,13,Green,197
1100,14,Green,201
1101,15,Green,197
1102,1,Blue,202
1103,2,Blue,323
1104,3,Blue,336
1105,4,Blue,328
1106,5,Blue,331
1107,6,Blue,328
1108,7,Blue,327
1109,8,Blue,333
1110,9,Blue,331
1111,10,Blue,333
1112,11,Blue,328
1113,12,Blue,329
1114,13,Blue,329
1115,14,Blue,335
1116,15,Blue,330
1117,1,Black,330
1118,2,Black,7
1119,3,Black,5
1120,4,Black,5
1121,5,Black,7
1122,6,Black,7
1123,7,Black,6
1124,8,Black,6
1125,9,Black,7
1126,10,Black,6
1127,11,Black,5
1128,12,Black,6
1129,13,Black,5
1130,14,Black,6
1131,0,Black,7
1132,0,Black,6
1133,0,Black,6
1134,0,Black,5
1135,0,Black,7
1136,0,Black,5
1137,0,Black,5
1138,0,Black,6
1139,0,Black,6
1140,0,Black,6
1141,0,Black,6
1142,0,Black,8
1143,0,Black,6
1144,0,Black,5
1145,0,Black,6
1146,1,White,6
1147,2,White,818
1148,3,White,821
1149,4,White,824
1150,5,White,826
1151,6,White,814
1152,7,White,821
1153,8,White,824
1154,9,White,814
1155,10,White,824
1156,11,White,824
1157,12,White,820
1158,13,White,816
1159,14,White,819
1160,15,White,826
1161,1,Red,821
1162,2,Red,334
1163,3,Red,337
1164,4,Red,343
1165,5,Red,336
1166,6,Red,339
1167,7,Red,338
