Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
3,Black,5.25,3.0,4.0,5.0,4.0,3.25,4.5,4.0,4.75,4.5,4.25,3.0,3.5,4.25,4.25,4.5,4.25,3.75,4.25,4.5
3,Blue,264.25,241.5,226.75,269.5,220.25,265.25,287.25,284.0,267.75,223.0,298.5,196.0,268.5,228.75,270.5,223.75,262.75,275.0,236.25,285.25
3,Green,427.25,377.75,349.25,425.5,333.25,414.75,415.75,447.75,368.0,353.5,411.25,295.5,417.75,355.75,398.75,334.75,375.25,383.0,355.25,435.25
3,Red,328.0,316.75,320.0,332.25,310.5,333.5,334.25,358.0,331.0,298.25,335.5,309.25,339.25,320.5,326.25,301.25,322.25,337.5,317.0,343.5
3,White,940.75,888.0,844.5,943.5,817.0,939.75,945.5,955.25,914.0,825.0,948.0,761.0,942.0,847.75,930.0,811.5,897.75,929.5,853.0,949.25
4,Black,4.75,3.5,4.5,5.25,4.0,3.5,4.25,4.0,4.5,4.75,4.25,3.75,3.0,4.25,4.25,4.5,4.25,4.5,3.75,4.25
4,Blue,263.5,240.5,228.25,268.75,218.5,264.75,288.25,283.5,268.75,222.5,297.25,193.75,270.75,225.25,272.5,225.5,261.5,274.25,236.5,283.0
4,Green,431.5,381.0,349.25,424.25,332.0,410.5,414.5,445.5,368.0,353.25,415.75,293.0,418.75,351.5,398.5,333.5,374.0,384.5,353.75,434.25
4,Red,328.75,316.5,321.75,331.75,310.25,337.0,331.0,361.0,330.75,301.0,340.75,310.0,341.75,323.0,326.5,302.25,324.25,335.25,314.75,343.25
4,White,939.5,888.0,844.0,942.5,815.5,937.75,943.75,949.5,909.5,828.5,945.75,764.5,942.75,849.0,929.0,815.0,896.0,928.0,850.75,950.0
5,Black,5.0,3.25,4.5,5.0,4.0,3.25,4.25,4.5,4.25,4.75,3.75,3.5,4.25,4.0,4.0,4.5,4.5,3.25,5.0,4.25
5,Blue,265.25,242.75,228.0,271.0,216.25,267.75,285.75,286.75,269.5,222.25,298.0,194.75,269.0,226.75,269.75,225.25,263.0,273.75,233.75,283.75
