dataset,sample_name,integration_time_ms,gain,net_intensity_red,net_intensity_green,net_intensity_blue,net_intensity_clear
7_soil_calibration,RED,2.4,1.0,7.969230769230769,0.0,0.0,0.0
7_soil_calibration,RER,614.0,1.0,1460.3260869565217,1247.3804347826087,1837.344202898551,4369.365942028985
7_soil_calibration,blank,180.0,1.0,451.34285714285716,366.8984126984127,235.4968253968254,1038.447619047619
7_soil_calibration,D,499.0,1.0,2360.973404255319,2007.9255319148936,2590.7801418439717,6676.13475177305
7_soil_calibration,RED,24.0,1.0,58.57364341085271,52.4031007751938,89.64562569213732,200.62236987818383
7_soil_calibration,blank,199.0,1.0,473.1,385.1589285714286,249.4125,1091.9071428571428
7_soil_calibration,RED,614.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,blank0,24.0,1.0,64.85714285714286,53.57142857142857,39.33976833976834,154.88513513513513
7_soil_calibration,A,614.0,1.0,2815.971631205674,2341.9804964539007,2610.336879432624,7468.656028368794
7_soil_calibration,D,480.0,1.0,2377.6878306878307,2027.3756613756611,2594.462962962963,6714.431216931217
7_soil_calibration,E,499.0,1.0,2457.946808510638,2112.072695035461,2676.062056737589,6956.177304964539
7_soil_calibration,BLACK,540.0,1.0,1351.9927536231885,1121.9891304347825,949.8731884057972,3341.623188405797
7_soil_calibration,BLACK,401.0,1.0,1040.3703703703704,865.4497354497355,740.3809523809523,2582.4074074074074
7_soil_calibration,BLACK,240.0,1.0,635.6537698412699,526.031746031746,449.890873015873,1572.985119047619
7_soil_calibration,D,50.0,1.0,311.0416666666667,267.25,346.02061403508776,887.3429824561404
7_soil_calibration,blank,60.0,1.0,164.27272727272728,134.0,87.68181818181819,380.06131078224104
7_soil_calibration,A,420.0,1.0,2034.0584415584415,1700.5584415584415,1899.8389610389609,5415.976623376624
7_soil_calibration,RER,614.0,60.0,47107.590579710144,43764.159420289856,44230.97101449275,31705.57608695652
7_soil_calibration,BLACK,480.0,1.0,1191.3386524822695,989.7304964539007,838.6613475177305,2947.7322695035464
7_soil_calibration,D,540.0,1.0,2585.601063829787,2197.246453900709,2831.831560283688,7304.551418439717
7_soil_calibration,blank0,24.0,1.0,64.46666666666667,53.3,38.7,153.9
7_soil_calibration,RED,614.0,1.0,31308.722222222223,26672.65522875817,41357.740196078434,58791.28758169935
7_soil_calibration,D,240.0,1.0,1282.6557120500781,1092.725352112676,1397.810641627543,3620.1009389671362
7_soil_calibration,D,401.0,1.0,1988.896103896104,1692.4363636363637,2171.992207792208,5615.1558441558445
